,Month,Year,Day,Predicted
147,2.0,1994.0,3,1.1568434
148,2.0,1994.0,4,1.1574641
149,2.0,1994.0,8,1.1578248
150,2.0,1994.0,9,1.1563208
151,2.0,1994.0,10,1.1547064
152,2.0,1994.0,11,1.1531241
153,2.0,1994.0,15,1.1522907
154,2.0,1994.0,16,1.1533746
155,2.0,1994.0,17,1.1526165
156,2.0,1994.0,18,1.1533468
157,2.0,1994.0,23,1.1546113
158,2.0,1994.0,24,1.1558437
159,2.0,1994.0,25,1.1568353
160,3.0,1994.0,1,1.157644
161,3.0,1994.0,2,1.1584398
162,3.0,1994.0,3,1.158802
163,3.0,1994.0,4,1.1591668
164,3.0,1994.0,8,1.159614
165,3.0,1994.0,9,1.1605856
166,3.0,1994.0,10,1.1617877
167,3.0,1994.0,11,1.160403
168,3.0,1994.0,15,1.1594533
169,3.0,1994.0,16,1.1607699
170,3.0,1994.0,17,1.161253
171,3.0,1994.0,18,1.1623107
172,3.0,1994.0,22,1.1631446
173,3.0,1994.0,23,1.164139
174,3.0,1994.0,24,1.1646938
175,3.0,1994.0,25,1.165389
176,3.0,1994.0,29,1.1663579
177,3.0,1994.0,30,1.1655159
178,3.0,1994.0,31,1.1663666
179,4.0,1994.0,1,1.1671218
180,4.0,1994.0,5,1.1656349
181,4.0,1994.0,6,1.1638621
182,4.0,1994.0,7,1.1624312
183,4.0,1994.0,8,1.1614292
184,4.0,1994.0,12,1.1625571
185,4.0,1994.0,13,1.161833
186,4.0,1994.0,14,1.1626233
187,4.0,1994.0,15,1.1640087
188,4.0,1994.0,19,1.1650065
189,4.0,1994.0,20,1.1660292
190,4.0,1994.0,21,1.1667441
191,4.0,1994.0,22,1.1673115
192,4.0,1994.0,26,1.1676123
193,4.0,1994.0,27,1.1681364
194,4.0,1994.0,28,1.1684818
195,4.0,1994.0,29,1.1696539
196,5.0,1994.0,3,1.1706078
197,5.0,1994.0,4,1.1691993
198,5.0,1994.0,5,1.1680554
199,5.0,1994.0,6,1.1692731
200,5.0,1994.0,10,1.1695244
201,5.0,1994.0,11,1.1704646
202,5.0,1994.0,12,1.1709545
203,5.0,1994.0,13,1.1718464
204,5.0,1994.0,17,1.1724598
205,5.0,1994.0,18,1.1729524
206,5.0,1994.0,19,1.1739652
207,5.0,1994.0,20,1.1729232
208,5.0,1994.0,24,1.173641
209,5.0,1994.0,25,1.1741683
210,5.0,1994.0,26,1.1753016
211,5.0,1994.0,27,1.1758468
212,6.0,1994.0,1,1.1764908
213,6.0,1994.0,2,1.1775403
214,6.0,1994.0,3,1.1802796
215,6.0,1994.0,7,1.1811708
216,6.0,1994.0,8,1.183247
217,6.0,1994.0,9,1.1860662
218,6.0,1994.0,10,1.1884197
219,6.0,1994.0,14,1.1908255
220,6.0,1994.0,15,1.1925087
221,6.0,1994.0,16,1.1942585
222,6.0,1994.0,17,1.1957995
223,6.0,1994.0,21,1.1974547
224,6.0,1994.0,22,1.1990501
225,6.0,1994.0,23,1.2012776
226,6.0,1994.0,24,1.2032397
227,6.0,1994.0,28,1.2026634
228,6.0,1994.0,29,1.202361
229,6.0,1994.0,30,1.2045456
230,7.0,1994.0,1,1.2055851
231,7.0,1994.0,6,1.2073618
232,7.0,1994.0,7,1.2085577
233,7.0,1994.0,8,1.2099442
234,7.0,1994.0,12,1.211138
235,7.0,1994.0,13,1.2122579
236,7.0,1994.0,14,1.21369
237,7.0,1994.0,15,1.2129622
238,7.0,1994.0,19,1.2142178
239,7.0,1994.0,20,1.2152771
240,7.0,1994.0,21,1.2172616
241,7.0,1994.0,22,1.2186778
242,7.0,1994.0,26,1.219755
243,7.0,1994.0,27,1.2214559
244,7.0,1994.0,28,1.2249023
245,7.0,1994.0,29,1.2263447
246,8.0,1994.0,2,1.2289162
247,8.0,1994.0,3,1.2322192
248,8.0,1994.0,4,1.2348427
249,8.0,1994.0,5,1.2374434
250,8.0,1994.0,9,1.2395484
251,8.0,1994.0,10,1.2414647
252,8.0,1994.0,11,1.2427473
253,8.0,1994.0,12,1.2440733
254,8.0,1994.0,16,1.2452583
255,8.0,1994.0,17,1.2470825
256,8.0,1994.0,18,1.2489914
257,8.0,1994.0,19,1.2478251
258,8.0,1994.0,23,1.2472773
259,8.0,1994.0,24,1.2490759
260,8.0,1994.0,25,1.2497478
261,8.0,1994.0,26,1.2512275
262,8.0,1994.0,30,1.2522408
263,8.0,1994.0,31,1.2533634
264,9.0,1994.0,1,1.2541596
265,9.0,1994.0,2,1.2548927
266,9.0,1994.0,7,1.2562671
267,9.0,1994.0,8,1.2553588
268,9.0,1994.0,9,1.2562532
269,9.0,1994.0,13,1.2571906
270,9.0,1994.0,14,1.255186
271,9.0,1994.0,15,1.2531594
272,9.0,1994.0,16,1.2514582
273,9.0,1994.0,20,1.2499316
274,9.0,1994.0,21,1.2508879
275,9.0,1994.0,22,1.2499974
276,9.0,1994.0,23,1.2502607
277,9.0,1994.0,27,1.2514355
278,9.0,1994.0,28,1.251955
279,9.0,1994.0,29,1.2530264
280,9.0,1994.0,30,1.2536426
281,10.0,1994.0,4,1.2539742
282,10.0,1994.0,5,1.2541108
283,10.0,1994.0,6,1.2545326
284,10.0,1994.0,7,1.2548653
285,10.0,1994.0,12,1.2558839
286,10.0,1994.0,13,1.257042
287,10.0,1994.0,14,1.2554768
288,10.0,1994.0,18,1.2545047
289,10.0,1994.0,19,1.25614
290,10.0,1994.0,20,1.2564113
291,10.0,1994.0,21,1.2579451
292,10.0,1994.0,25,1.2588184
293,10.0,1994.0,26,1.2600543
294,10.0,1994.0,27,1.2608429
295,10.0,1994.0,28,1.2614563
296,11.0,1994.0,1,1.2629646
297,11.0,1994.0,2,1.2620404
298,11.0,1994.0,3,1.2628052
299,11.0,1994.0,4,1.2634697
300,11.0,1994.0,8,1.2625604
301,11.0,1994.0,9,1.2614055
302,11.0,1994.0,10,1.2603403
303,11.0,1994.0,11,1.2599381
304,11.0,1994.0,15,1.2615515
305,11.0,1994.0,16,1.2614468
306,11.0,1994.0,17,1.2624024
307,11.0,1994.0,18,1.2642685
308,11.0,1994.0,22,1.2658712
309,11.0,1994.0,23,1.2675045
310,11.0,1994.0,24,1.2685465
311,11.0,1994.0,29,1.2693634
312,11.0,1994.0,30,1.269843
313,12.0,1994.0,1,1.2704034
314,12.0,1994.0,2,1.2708817
315,12.0,1994.0,6,1.2718737
316,12.0,1994.0,7,1.2732203
317,12.0,1994.0,8,1.271327
318,12.0,1994.0,9,1.2698727
319,12.0,1994.0,13,1.2712258
320,12.0,1994.0,14,1.2715917
321,12.0,1994.0,15,1.2725328
322,12.0,1994.0,16,1.2729889
323,12.0,1994.0,20,1.2737681
324,12.0,1994.0,21,1.2741445
325,12.0,1994.0,22,1.2744138
326,12.0,1994.0,23,1.2753091
327,12.0,1994.0,28,1.2742529
328,12.0,1994.0,29,1.2750201
329,12.0,1994.0,30,1.2758098
330,1.0,1995.0,4,1.2748277
331,1.0,1995.0,5,1.2736659
332,1.0,1995.0,6,1.2725478
333,1.0,1995.0,10,1.2723342
334,1.0,1995.0,11,1.2742485
335,1.0,1995.0,12,1.2741636
336,1.0,1995.0,13,1.2752438
337,1.0,1995.0,18,1.277318
338,1.0,1995.0,19,1.2790599
339,1.0,1995.0,20,1.280606
340,1.0,1995.0,24,1.2818503
341,1.0,1995.0,25,1.2827461
342,1.0,1995.0,26,1.2832475
343,1.0,1995.0,27,1.283846
344,1.0,1995.0,31,1.2844887
345,2.0,1995.0,1,1.285866
346,2.0,1995.0,2,1.2874742
347,2.0,1995.0,3,1.2858664
348,2.0,1995.0,7,1.2848535
349,2.0,1995.0,8,1.2863955
350,2.0,1995.0,9,1.2869805
351,2.0,1995.0,10,1.2882798
352,2.0,1995.0,14,1.2889498
353,2.0,1995.0,15,1.2899122
354,2.0,1995.0,16,1.2904179
355,2.0,1995.0,17,1.2910203
356,2.0,1995.0,22,1.2922614
357,2.0,1995.0,23,1.2914088
358,2.0,1995.0,24,1.292612
359,2.0,1995.0,28,1.2935426
360,3.0,1995.0,1,1.2958546
361,3.0,1995.0,2,1.2976227
362,3.0,1995.0,3,1.2992013
363,3.0,1995.0,7,1.3014246
364,3.0,1995.0,8,1.305425
365,3.0,1995.0,9,1.3073485
366,3.0,1995.0,10,1.3100332
367,3.0,1995.0,14,1.3137597
368,3.0,1995.0,15,1.3168831
369,3.0,1995.0,16,1.3198158
370,3.0,1995.0,17,1.3222556
371,3.0,1995.0,21,1.324179
372,3.0,1995.0,22,1.3255945
373,3.0,1995.0,23,1.3270701
374,3.0,1995.0,24,1.3284812
375,3.0,1995.0,28,1.330523
376,3.0,1995.0,29,1.3330126
377,3.0,1995.0,30,1.3319156
378,3.0,1995.0,31,1.3315582
379,4.0,1995.0,4,1.3339045
380,4.0,1995.0,5,1.3349974
381,4.0,1995.0,6,1.3369236
382,4.0,1995.0,7,1.3380792
383,4.0,1995.0,11,1.339555
384,4.0,1995.0,12,1.3405913
385,4.0,1995.0,13,1.3416314
386,4.0,1995.0,14,1.343356
387,4.0,1995.0,18,1.3429279
388,4.0,1995.0,19,1.3443198
389,4.0,1995.0,20,1.3455225
390,4.0,1995.0,21,1.3447745
391,4.0,1995.0,25,1.3436775
392,4.0,1995.0,26,1.3426217
393,4.0,1995.0,27,1.3423429
394,4.0,1995.0,28,1.3441925
395,5.0,1995.0,2,1.3442448
396,5.0,1995.0,3,1.3452591
397,5.0,1995.0,4,1.347406
398,5.0,1995.0,5,1.348982
399,5.0,1995.0,9,1.3507342
400,5.0,1995.0,10,1.3520174
401,5.0,1995.0,11,1.3530071
402,5.0,1995.0,12,1.3532897
403,5.0,1995.0,16,1.3536536
404,5.0,1995.0,17,1.3538307
405,5.0,1995.0,18,1.3548114
406,5.0,1995.0,19,1.3563627
407,5.0,1995.0,23,1.3542397
408,5.0,1995.0,24,1.3528837
409,5.0,1995.0,25,1.3543668
410,5.0,1995.0,26,1.3547149
411,5.0,1995.0,31,1.355834
412,6.0,1995.0,1,1.3562171
413,6.0,1995.0,2,1.3571093
414,6.0,1995.0,6,1.3575372
415,6.0,1995.0,7,1.3577892
416,6.0,1995.0,8,1.3590648
417,6.0,1995.0,9,1.3581109
418,6.0,1995.0,13,1.3588905
419,6.0,1995.0,14,1.3597097
420,6.0,1995.0,15,1.357979
421,6.0,1995.0,16,1.3560269
422,6.0,1995.0,20,1.3544185
423,6.0,1995.0,21,1.3534241
424,6.0,1995.0,22,1.3547246
425,6.0,1995.0,23,1.3542005
426,6.0,1995.0,27,1.354807
427,6.0,1995.0,28,1.3565547
428,6.0,1995.0,29,1.3577485
429,6.0,1995.0,30,1.359211
430,7.0,1995.0,4,1.3601763
431,7.0,1995.0,6,1.3606621
432,7.0,1995.0,7,1.3607738
433,7.0,1995.0,11,1.3611777
434,7.0,1995.0,12,1.361395
435,7.0,1995.0,13,1.3625696
436,7.0,1995.0,14,1.3640149
437,7.0,1995.0,18,1.362049
438,7.0,1995.0,19,1.360748
439,7.0,1995.0,20,1.3623381
440,7.0,1995.0,21,1.3624969
441,7.0,1995.0,25,1.3636731
442,7.0,1995.0,26,1.3643032
443,7.0,1995.0,27,1.3652942
444,7.0,1995.0,28,1.365838
445,8.0,1995.0,1,1.3662312
446,8.0,1995.0,2,1.3675117
447,8.0,1995.0,3,1.3663892
448,8.0,1995.0,4,1.3670433
449,8.0,1995.0,8,1.3677324
450,8.0,1995.0,9,1.3619
451,8.0,1995.0,10,1.3561829
452,8.0,1995.0,11,1.3512782
453,8.0,1995.0,15,1.3471789
454,8.0,1995.0,16,1.3456384
455,8.0,1995.0,17,1.3425896
456,8.0,1995.0,18,1.3407936
457,8.0,1995.0,22,1.3402122
458,8.0,1995.0,23,1.3394276
459,8.0,1995.0,24,1.3390477
460,8.0,1995.0,25,1.3384457
461,8.0,1995.0,29,1.337678
462,8.0,1995.0,30,1.3365202
463,8.0,1995.0,31,1.3357482
464,9.0,1995.0,1,1.3349236
465,9.0,1995.0,6,1.3351624
466,9.0,1995.0,7,1.3356313
467,9.0,1995.0,8,1.3330243
468,9.0,1995.0,12,1.3311918
469,9.0,1995.0,13,1.3321391
470,9.0,1995.0,14,1.3316894
471,9.0,1995.0,15,1.3324286
472,9.0,1995.0,19,1.3326519
473,9.0,1995.0,20,1.333289
474,9.0,1995.0,21,1.3335172
475,9.0,1995.0,22,1.3336544
476,9.0,1995.0,26,1.334621
477,9.0,1995.0,27,1.3332336
478,9.0,1995.0,28,1.3338833
479,9.0,1995.0,29,1.334533
480,10.0,1995.0,3,1.3330442
481,10.0,1995.0,4,1.3312125
482,10.0,1995.0,5,1.3296785
483,10.0,1995.0,6,1.3288649
484,10.0,1995.0,11,1.3303658
485,10.0,1995.0,12,1.3299996
486,10.0,1995.0,13,1.330736
487,10.0,1995.0,17,1.3324696
488,10.0,1995.0,18,1.333855
489,10.0,1995.0,19,1.3354013
490,10.0,1995.0,20,1.3364601
491,10.0,1995.0,24,1.3372955
492,10.0,1995.0,25,1.3374808
493,10.0,1995.0,26,1.337934
494,10.0,1995.0,27,1.3382381
495,10.0,1995.0,31,1.3395153
496,11.0,1995.0,1,1.3408449
497,11.0,1995.0,2,1.3389218
498,11.0,1995.0,3,1.3375579
499,11.0,1995.0,7,1.3389454
500,11.0,1995.0,8,1.3391455
