,Month,Year,Day,Predicted
147,2.0,1994.0,3,1.1974857
148,2.0,1994.0,4,1.1975406
149,2.0,1994.0,8,1.1981272
150,2.0,1994.0,9,1.1973352
151,2.0,1994.0,10,1.1980766
152,2.0,1994.0,11,1.198286
153,2.0,1994.0,15,1.1990287
154,2.0,1994.0,16,1.1993761
155,2.0,1994.0,17,1.1998441
156,2.0,1994.0,18,1.2003249
157,2.0,1994.0,23,1.2007186
158,2.0,1994.0,24,1.2012553
159,2.0,1994.0,25,1.2016529
160,3.0,1994.0,1,1.2021734
161,3.0,1994.0,2,1.2021402
162,3.0,1994.0,3,1.2012069
163,3.0,1994.0,4,1.2006843
164,3.0,1994.0,8,1.2007253
165,3.0,1994.0,9,1.2008182
166,3.0,1994.0,10,1.2002034
167,3.0,1994.0,11,1.1975918
168,3.0,1994.0,15,1.1974616
169,3.0,1994.0,16,1.1973851
170,3.0,1994.0,17,1.1963493
171,3.0,1994.0,18,1.1959565
172,3.0,1994.0,22,1.1960351
173,3.0,1994.0,23,1.1972532
174,3.0,1994.0,24,1.1986893
175,3.0,1994.0,25,1.200109
176,3.0,1994.0,29,1.200752
177,3.0,1994.0,30,1.2019224
178,3.0,1994.0,31,1.2021028
179,4.0,1994.0,1,1.2029741
180,4.0,1994.0,5,1.202991
181,4.0,1994.0,6,1.20433
182,4.0,1994.0,7,1.2053678
183,4.0,1994.0,8,1.2065408
184,4.0,1994.0,12,1.2074498
185,4.0,1994.0,13,1.208438
186,4.0,1994.0,14,1.209405
187,4.0,1994.0,15,1.2103013
188,4.0,1994.0,19,1.2109363
189,4.0,1994.0,20,1.2116791
190,4.0,1994.0,21,1.2123802
191,4.0,1994.0,22,1.212347
192,4.0,1994.0,26,1.2115428
193,4.0,1994.0,27,1.21136
194,4.0,1994.0,28,1.2114737
195,4.0,1994.0,29,1.2119238
196,5.0,1994.0,3,1.211185
197,5.0,1994.0,4,1.2086625
198,5.0,1994.0,5,1.2084447
199,5.0,1994.0,6,1.208353
200,5.0,1994.0,10,1.2071769
201,5.0,1994.0,11,1.2067127
202,5.0,1994.0,12,1.2065051
203,5.0,1994.0,13,1.2077056
204,5.0,1994.0,17,1.2092838
205,5.0,1994.0,18,1.2105814
206,5.0,1994.0,19,1.2113216
207,5.0,1994.0,20,1.2123705
208,5.0,1994.0,24,1.2124425
209,5.0,1994.0,25,1.2131393
210,5.0,1994.0,26,1.2132698
211,5.0,1994.0,27,1.2147167
212,6.0,1994.0,1,1.2157931
213,6.0,1994.0,2,1.2171552
214,6.0,1994.0,3,1.217937
215,6.0,1994.0,7,1.2189918
216,6.0,1994.0,8,1.2198869
217,6.0,1994.0,9,1.2209185
218,6.0,1994.0,10,1.2217422
219,6.0,1994.0,14,1.2228057
220,6.0,1994.0,15,1.2235597
221,6.0,1994.0,16,1.2238674
222,6.0,1994.0,17,1.2235703
223,6.0,1994.0,21,1.2238033
224,6.0,1994.0,22,1.2245785
225,6.0,1994.0,23,1.2254931
226,6.0,1994.0,24,1.2251744
227,6.0,1994.0,28,1.2230937
228,6.0,1994.0,29,1.2233511
