Date,Open,High,Low,Close
19931124,1.1305,1.1321,1.1305,1.1321
19931125,1.1321,1.1321,1.1232,1.1232
19931130,1.126,1.126,1.1213,1.1213
19931201,1.1213,1.1213,1.1211,1.1211
19931202,1.1211,1.1211,1.1186,1.1186
19931203,1.1186,1.121,1.1186,1.121
19931207,1.1347,1.1347,1.1347,1.1347
19931208,1.1347,1.136,1.1347,1.136
19931209,1.136,1.136,1.1352,1.1352
19931210,1.1352,1.1389,1.1352,1.1389
19931214,1.1328,1.1328,1.1288,1.1288
19931215,1.1288,1.1288,1.1273,1.1273
19931216,1.1273,1.1312,1.1273,1.1312
19931217,1.1312,1.1342,1.1312,1.1342
19931221,1.1318,1.1364,1.1318,1.1364
19931222,1.1364,1.1405,1.1364,1.1405
19931223,1.1405,1.1455,1.1405,1.1455
19931224,1.1455,1.1455,1.1423,1.1423
19931228,1.1413,1.1413,1.1401,1.1401
19931229,1.1401,1.1401,1.128,1.128
19931230,1.128,1.128,1.1187,1.1187
19931231,1.1187,1.1187,1.1156,1.1156
19940104,1.1148,1.119,1.1148,1.119
19940105,1.119,1.119,1.1185,1.1185
19940106,1.1185,1.1185,1.1175,1.1175
19940107,1.1175,1.122,1.1175,1.122
19940111,1.1196,1.1196,1.1181,1.1181
19940112,1.1181,1.1228,1.1181,1.1228
19940113,1.1228,1.1228,1.1148,1.1148
19940114,1.1148,1.1148,1.1148,1.1148
19940119,1.1196,1.1196,1.1188,1.1188
19940120,1.1188,1.1236,1.1188,1.1236
19940121,1.1236,1.1236,1.1179,1.1179
19940125,1.1173,1.1204,1.1173,1.1204
19940126,1.1204,1.1225,1.1204,1.1225
19940127,1.1225,1.1254,1.1225,1.1254
19940128,1.1254,1.1301,1.1254,1.1301
19940201,1.1295,1.1344,1.1295,1.1344
19940202,1.1344,1.1344,1.1306,1.1306
19940203,1.1306,1.1306,1.1293,1.1293
19940204,1.1293,1.1293,1.1222,1.1222
19940208,1.1154,1.1154,1.1134,1.1134
19940209,1.1134,1.116,1.1134,1.116
19940210,1.116,1.1171,1.116,1.1171
19940211,1.1171,1.1172,1.1171,1.1172
19940215,1.1244,1.1308,1.1244,1.1308
19940216,1.1308,1.1326,1.1308,1.1326
19940217,1.1326,1.1326,1.1312,1.1312
19940218,1.1312,1.1375,1.1312,1.1375
19940223,1.1339,1.1339,1.1312,1.1312
19940224,1.1312,1.1358,1.1312,1.1358
19940225,1.1358,1.1406,1.1358,1.1406
19940301,1.1441,1.1441,1.138,1.138
19940302,1.138,1.1419,1.138,1.1419
19940303,1.1419,1.1419,1.1409,1.1409
19940304,1.1409,1.1409,1.1355,1.1355
19940308,1.1355,1.1355,1.1344,1.1344
19940309,1.1344,1.1383,1.1344,1.1383
19940310,1.1383,1.1503,1.1383,1.1503
19940311,1.1503,1.1575,1.1503,1.1575
19940315,1.1507,1.1507,1.1476,1.1476
19940316,1.1476,1.1508,1.1476,1.1508
19940317,1.1508,1.153,1.1508,1.153
19940318,1.153,1.153,1.1484,1.1484
19940322,1.1446,1.1485,1.1446,1.1485
19940323,1.1485,1.1509,1.1485,1.1509
19940324,1.1509,1.1599,1.1509,1.1599
19940325,1.1599,1.1608,1.1599,1.1608
19940329,1.1602,1.1602,1.158,1.158
19940330,1.158,1.1597,1.158,1.1597
19940331,1.1597,1.1667,1.1597,1.1667
19940401,1.1667,1.1667,1.1501,1.1501
19940405,1.1484,1.1484,1.1407,1.1407
19940406,1.1407,1.1407,1.1391,1.1391
19940407,1.1391,1.1391,1.1387,1.1387
19940408,1.1387,1.1434,1.1387,1.1434
19940412,1.144,1.144,1.14,1.14
19940413,1.14,1.1438,1.14,1.1438
19940414,1.1438,1.1444,1.1438,1.1444
19940415,1.1444,1.1444,1.1419,1.1419
19940419,1.139,1.1481,1.139,1.1481
19940420,1.1481,1.1517,1.1481,1.1517
19940421,1.1517,1.1561,1.1517,1.1561
19940422,1.1561,1.1561,1.1537,1.1537
19940426,1.1619,1.1624,1.1619,1.1624
19940427,1.1624,1.1671,1.1624,1.1671
19940428,1.1671,1.1709,1.1671,1.1709
19940429,1.1709,1.1771,1.1709,1.1771
19940503,1.1841,1.1874,1.1841,1.1874
19940504,1.1874,1.1874,1.1732,1.1732
19940505,1.1732,1.1732,1.1679,1.1679
19940506,1.1679,1.1713,1.1679,1.1713
19940510,1.1768,1.1768,1.1653,1.1653
19940511,1.1653,1.1653,1.1649,1.1649
19940512,1.1649,1.1679,1.1649,1.1679
19940513,1.1679,1.1679,1.1663,1.1663
19940517,1.1633,1.1693,1.1633,1.1693
19940518,1.1693,1.1761,1.1693,1.1761
19940519,1.1761,1.1774,1.1761,1.1774
19940520,1.1774,1.1827,1.1774,1.1827
19940524,1.1833,1.1833,1.1771,1.1771
19940525,1.1771,1.1818,1.1771,1.1818
19940526,1.1818,1.1818,1.1818,1.1818
19940527,1.1818,1.1825,1.1818,1.1825
19940601,1.1812,1.1812,1.1803,1.1803
19940602,1.1803,1.1803,1.1754,1.1754
19940603,1.1754,1.1754,1.1653,1.1653
19940607,1.1662,1.1673,1.1662,1.1673
19940608,1.1673,1.1673,1.1648,1.1648
19940609,1.1648,1.1648,1.1628,1.1628
19940610,1.1628,1.1679,1.1628,1.1679
19940614,1.1769,1.181,1.1769,1.181
19940615,1.181,1.1868,1.181,1.1868
19940616,1.1868,1.1868,1.1866,1.1866
19940617,1.1866,1.201,1.1866,1.201
19940621,1.2086,1.2144,1.2086,1.2144
19940622,1.2144,1.2144,1.2064,1.2064
19940623,1.2064,1.2107,1.2064,1.2107
19940624,1.2107,1.2211,1.2107,1.2211
19940628,1.2285,1.2285,1.2262,1.2262
19940629,1.2262,1.2262,1.2237,1.2237
19940630,1.2237,1.2237,1.2212,1.2212
19940701,1.2212,1.2212,1.2161,1.2161
19940706,1.2233,1.2312,1.2233,1.2312
19940707,1.2312,1.2312,1.228,1.228
19940708,1.228,1.2346,1.228,1.2346
19940712,1.2596,1.2709,1.2596,1.2709
19940713,1.2709,1.2709,1.2601,1.2601
19940714,1.2601,1.2601,1.2497,1.2497
